"ChIJ1ckK7SWyYEgRuYEo6KZgSR0","An Ghairmscoil Inver College, Carraig Mhachaire Rois","Inver College","64","1","0","2","0","2","2","0","0","0","0","0","0","2","1","0","1","27","2","0","0","0","0","0","1","0","0","1","0","0","42","0.66",
"ChIJ1Qj7lIKXREgRIFRTYhy7zr0","Cork College of Commerce, Morrisons Island, Cork ","Cork College of Commerce","116","2","1","1","5","0","0","33","0","0","0","0","0","0","0","0","27","0","0","0","1","0","0","0","0","0","0","0","0","0","70","0.6",
"ChIJ1X9-8iINZ0gR7AigGVmqJV4","*Mount Sackville, Chapelizod","Mount Sackville Secondary School","84","13","16","17","2","22","0","2","0","0","0","3","2","13","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","94","1.12",
"ChIJ1YQ2e5DTXUgRKNtcugsHR0Y","Templemichael College, Templemichael, Longford","Templemichael College","13","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0.54",
"ChIJ1Z8WpicJZ0gRpR_TROqJEjM","Coláiste Eoin, Cappagh Road, Finglas","Coláiste Eoin","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.08",
"ChIJ23zHCPpwZ0gRadrkAS4ri2M","St Wolstan’s Community School, Ballymakealy, Clane Road, Celbridge","Wolstan's School","114","14","19","7","1","28","2","0","0","0","1","8","0","12","2","1","0","2","1","1","2","0","0","1","0","0","0","0","3","1","106","0.93",
"ChIJ25b9X7I8XEgRrKE3KVekcqI","Mean Scoil Muire Gan Smal, Clochar na Trocaire, Roscomain","Scoil Muire gan Smal","85","8","3","12","6","6","21","1","0","0","0","0","0","1","0","8","1","0","2","0","1","3","0","1","1","0","0","2","0","0","77","0.91",
"ChIJ26UNz3oAaEgRBDoU0SlOeyk","Enniscorthy Vocational College, Mile House Road, Enniscorthy","Enniscorthy Vocational College","66","1","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","1","10","0","0","0","0","7","0","0","0","0","23","0.35",
"ChIJ28nUxhtIWkgRU4djdrrm1Vo","Scoil Phobail Mhic Dara, Carna, Galway","Scoil Phobail Mhic Dara","15","0","0","0","2","0","6","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","10","0.67",
"ChIJ2bBKkPlcW0gR3e46wWl9gt8","St Nessan’s Community School, Moylish Park, Limerick City","Thomond Community College","35","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10","0","0","1","0","0","16","0.46",
"ChIJ2bCwLCuFREgRNDBhVALZTwo","Nagle Community College, Avenue De Rennes, Mahon, Cork","Nagle Community College","22","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","1","0","0","0","0","0","14","0.64",
"ChIJ2fl3iGVcW0gR9uoFKtwBQyU","Coláiste Nano Nagle, Sexton Street, Limerick ","Coláiste Nano Nagle","38","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","11","0","0","3","0","0","24","0.63",
"ChIJ2WxwiT86Z0gRxDuWSeg-ZCE","Our Lady’s College, Greenhills, Drogheda","Our Lady's College","154","6","8","22","1","24","3","0","0","1","1","2","1","15","0","2","1","26","0","0","3","1","0","1","1","0","1","0","3","1","124","0.81",
"ChIJ2YB9S_yPREgRIStAVE5_fdM","Christ The King Sec School, Half Moon Lane, South Douglas Road, Cork","Christ King Girls Secondary School","149","1","1","1","2","0","5","75","0","0","0","0","0","1","0","0","32","1","0","0","1","0","1","0","2","1","0","4","0","0","128","0.86",
"ChIJ2YLsAosAaEgRAytRkpGKUzU","F.C.J. Secondary School, Bunclody, Enniscorthy","FCJ Secondary School","123","21","9","15","8","8","1","1","1","0","0","0","1","13","0","1","1","1","0","0","29","1","1","0","1","15","1","0","1","0","130","1.06",
"ChIJ2YSPXXKKXEgRFExJDjQzzLg","Community School, Portumna, Ballinasloe","Portumna Community School","47","0","1","0","3","2","10","0","0","0","0","0","0","0","0","5","0","0","11","0","0","1","0","0","1","2","0","1","0","0","37","0.79",
