"ChIJ150bjzQKZ0gRM_EOnupsooE","College of St Columba, Whitechurch, Dublin 16","St. Columba's College","75","1","22","0","0","0","2","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0.387",
"ChIJ1ckK7SWyYEgRuYEo6KZgSR0","An Ghairmscoil Inver College, Carraig Mhachaire Rois, Co Mhuineachain","Inver College","56","5","3","3","2","5","0","0","0","0","0","1","0","1","0","0","0","16","0","0","2","1","1","2","0","0","0","0","0","0","0","0","42","0.75",
"ChIJ1Qj7lIKXREgRIFRTYhy7zr0","Cork College of Commerce, Morrisons Island, Cork","Cork College of Commerce","141","1","0","1","4","1","2","46","0","0","0","0","0","0","0","0","29","1","0","0","0","0","2","0","0","1","0","0","2","0","0","0","90","0.638",
"ChIJ1X9-8iINZ0gR7AigGVmqJV4","Mount Sackville, Chapelizod, Dublin 20","Mount Sackville Secondary School","83","17","14","14","1","18","1","1","0","0","0","4","2","8","1","0","0","1","0","2","0","0","0","0","0","1","0","0","0","2","3","0","90","1.084",
"ChIJ1YQ2e5DTXUgRKNtcugsHR0Y","Templemichael College, Templemichael, Longford","Templemichael College","22","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","7","0.318",
"ChIJ1Z8WpicJZ0gRpR_TROqJEjM","Coláiste Eoin, Cappagh Road, Finglas, Dublin 11","Coláiste Eoin","27","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0.259",
"ChIJ1zOTHApcW0gR-XuZZ4OabXM","St Enda's Community School, Crossagalla, Kilmallock Road, Limerick City","St Endas Sports Complex","17","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0.176",
"ChIJ23zHCPpwZ0gRadrkAS4ri2M","St Wolstan's Community School, Ballymakealy, Clane Road, Celbridge","Wolstan's School","131","7","21","7","0","34","1","2","0","0","0","3","0","14","5","1","1","1","1","2","2","0","0","2","0","0","0","0","0","4","1","0","109","0.832",
"ChIJ25b9X7I8XEgRrKE3KVekcqI","Mean Scoil Muire Gan Smal, Clochar Na Trocaire, Roscomain","Scoil Muire gan Smal","86","4","2","4","2","5","23","0","3","0","0","0","0","2","0","8","0","1","10","0","1","5","1","0","0","0","0","0","2","2","1","0","76","0.884",
"ChIJ26UNz3oAaEgRBDoU0SlOeyk","Enniscorthy Vocational College, Mile House Road, Enniscorthy, Co. Wexford","Enniscorthy Vocational College","51","2","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","11","0","1","0","0","5","0","0","0","0","0","0","23","0.451",
"ChIJ28nUxhtIWkgRU4djdrrm1Vo","Scoil Phobail Mhic Dara, Carna, Galway","Scoil Phobail Mhic Dara","15","0","0","1","0","0","7","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","12","0.8",
"ChIJ2bCwLCuFREgRNDBhVALZTwo","Nagle Community College, Avenue De Rennes, Mahon, Cork","Nagle Community College","31","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0.29",
"ChIJ2fl3iGVcW0gR9uoFKtwBQyU","Coláiste Nano Nagle, Sexton Street, Limerick","Coláiste Nano Nagle","39","0","0","1","5","0","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","16","0","0","0","5","0","0","1","33","0.846",
"ChIJ2SQAQ62HXEgRnCHbugPx6CA","Our Lady of Mercy College, Woodford, Loughrea, Co Galway","Mercy College","23","0","0","1","0","0","6","1","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","1","0","0","0","2","0","0","0","17","0.739",
"ChIJ2WxwiT86Z0gRxDuWSeg-ZCE","Our Lady's College, Greenhills, Drogheda, Co Louth","Our Lady's College","166","9","6","48","0","13","1","0","0","0","0","2","0","11","0","3","1","32","0","1","2","0","0","1","0","0","2","0","0","7","0","0","139","0.837",
"ChIJ2YB9S_yPREgRIStAVE5_fdM","Christ The King Sec School, Half Moon Lane, South Douglas Road, Cork","Christ King Girls Secondary School","171","0","0","0","2","0","2","82","0","0","0","1","0","0","0","1","32","0","0","1","1","0","1","0","1","2","0","0","2","0","0","0","128","0.749",
"ChIJ2YLsAosAaEgRAytRkpGKUzU","F.C.J. Secondary School, Bunclody, Enniscorthy, Co Wexford","FCJ Secondary School","134","20","5","23","8","11","3","2","2","0","0","0","0","13","0","2","0","0","1","1","17","0","1","0","2","12","0","0","0","0","0","0","123","0.918",
"ChIJ2YSPXXKKXEgRFExJDjQzzLg","Community School, Portumna, Ballinasloe, Co Galway","Portumna Community School","97","2","1","1","18","2","10","7","0","0","0","0","0","2","0","5","2","1","19","0","0","1","3","0","3","4","0","0","5","0","0","0","86","0.887",
"ChIJ2_VD1FBoXEgRT7jLSpOX9bs","Ardscoil Mhuire, Mackney, Ballinasloe, Co. Galway","Ard Scoil Mhuire ballinasloe","85","3","0","6","6","1","14","0","0","0","0","0","0","5","0","15","1","1","8","1","0","2","0","1","1","1","0","0","6","0","1","0","73","0.859",
"ChIJ33V7X7XpXkgRYy9pL31stis","Mercy College, Chapel Hill, Sligo","Mercy College","62","3","4","3","1","0","8","2","4","1","1","0","0","0","0","1","0","0","0","0","1","19","0","1","0","0","2","0","1","0","0","0","52","0.839",
"ChIJ34uYDdUNZ0gRwBp3Fy-23Jo","Mount Carmel Sec School, Kings Inn St, Dublin 1","Mount Carmel Secondary School","46","2","2","3","0","0","0","0","0","0","0","4","4","3","1","1","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","24","0.522",
"ChIJ3cZw_bSwREgRAmia36KPuh4","Scoil Mhuire, Clochar na Trocaire, Ceann Toirc, Mala  Co Chorcai","Scoil Mhuire Na Trocaire","43","2","0","1","3","0","0","10","1","0","0","0","0","0","0","2","4","0","0","0","0","0","6","0","1","1","0","0","4","0","0","2","37","0.86",
