"ChIJ25b9X7I8XEgRrKE3KVekcqI","Mean Scoil Muire Gan Smal, Clochar na Trocaire, Roscomain ","Scoil Muire gan Smal","87","10","3","8","7","4","19","0","1","0","0","0","0","3","0","11","0","0","9","0","0","3","0","1","0","0","0","4","0","0","0","0","0","83","0.95",
"ChIJ26UNz3oAaEgRBDoU0SlOeyk","Enniscorthy Vocational College, Mile House Road, Enniscorthy ","Enniscorthy Vocational College","65","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","1","12","0","1","1","0","11","0","0","1","0","0","1","0","32","0.49",
"ChIJ28nUxhtIWkgRU4djdrrm1Vo","Scoil Phobail Mhic Dara, Carna, Galway ","Scoil Phobail Mhic Dara","13","0","0","0","2","1","4","0","1","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","13","1",
"ChIJ2bBKkPlcW0gR3e46wWl9gt8","Thomand Community College ","Thomond Community College","75","0","0","0","7","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","32","0","0","4","0","0","0","0","0","48","0.64",
"ChIJ2bCwLCuFREgRNDBhVALZTwo","Nagle Community College, Avenue De Rennes, Mahon, Cork","Nagle Community College","22","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","12","0.55",
"ChIJ2fl3iGVcW0gR9uoFKtwBQyU","Coláiste Nano Nagle, Sexton Street, Limerick ","Coláiste Nano Nagle","42","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","2","0","0","0","1","0","19","0.45",
"ChIJ2WxwiT86Z0gRxDuWSeg-ZCE","Our Lady’s College, Greenhills, Drogheda ","Our Lady's College","157","7","8","19","1","15","0","2","0","0","0","1","1","13","0","1","0","26","0","1","2","0","0","0","0","1","2","0","3","0","0","2","0","105","0.67",
"ChIJ2YB9S_yPREgRIStAVE5_fdM","Christ The King Sec School, Half Moon Lane, South Douglas Road, Cork","Christ King Girls Secondary School","146","0","1","0","2","0","2","70","0","0","0","0","0","1","0","0","35","1","0","0","1","0","0","0","4","2","0","6","0","0","0","0","0","125","0.86",
"ChIJ2YLsAosAaEgRAytRkpGKUzU","F.C.J. Secondary School, Bunclody, Enniscorthy ","FCJ Secondary School","131","12","9","10","9","14","7","1","3","0","0","0","1","10","0","0","0","1","1","3","26","0","0","0","3","20","0","0","1","0","1","0","0","132","1.01",
"ChIJ2YSPXXKKXEgRFExJDjQzzLg","Community School, Portumna, Ballinasloe ","Portumna Community School","61","3","1","2","9","2","9","0","0","0","0","0","0","0","1","3","0","0","13","0","1","0","0","0","4","4","0","3","0","1","0","0","0","56","0.92",
